IGPCV;DENOMINACION;PROVINCIA;MUNICIPIO;UTMESTE;UTMNORTE;CODCLASIFICACION;CLASIFICACION;CODCATEGORIA;CATEGORIA
"03.001-9999-000001";"Castillo de Forna";"ALICANTE";"ATZÚBIA (L')";"4306400";"745450";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.002-9999-000001";"Castillo de Agost";"ALICANTE";"AGOST";"4257316";"706092";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.002-9999-000002";"Castillo de la Murta";"ALICANTE";"AGOST";"4258652";"708690";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.003-9999-000002";"Covalta";"ALICANTE";"AGRES";"4298265";"717120";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.003-9999-000007";"Torre Atalaya";"ALICANTE";"AGRES";"4295098";"715038";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.003-9999-000011";"Castillo de Agres";"ALICANTE";"AGRES";"4294870";"715869";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.004-9999-000001";"Castillo de Aigües";"ALICANTE";"AIGÜES";"4264479";"730020";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.006-9999-000001";"Torre Alcalalí";"ALICANTE";"ALCALALÍ";"4293168";"757132";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.006-9999-000009";"Campana de Sant Joanet de Mosquera de la parroquia de la Natividad de María de Alcalalí";"ALICANTE";"ALCALALÍ";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.008-9999-000001";"Torre de Alcoleja";"ALICANTE";"ALCOLEJA";"4284142";"732172";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.009-9999-000001";"Abrigos de arte rupestre de la Sarga. Abrigo I, Abrigo II y Abrigo III";"ALICANTE";"ALCOI";"4280189";"721340";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.009-9999-000003";"Recinto Amurallado de Alcoy";"ALICANTE";"ALCOI";"4286420";"719549";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.009-9999-000011";"Conjunto del Sector Antiguo de la Ciudad";"ALICANTE";"ALCOI";"4285749";"719579";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.009-9999-000013";"Museo de Arte Camilo Vicedo";"ALICANTE";"ALCOI";"4286541";"719686";2;"Bienes muebles 1ª";20;"Fondo de museo (primera)"
"03.009-9999-000014";"Torre de Barxell";"ALICANTE";"ALCOI";"4285379";"714799";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.009-9999-000025";"La Serreta";"ALICANTE";"ALCOI";"4285261";"722954";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.009-9999-000153";"Poblado ibérico amurallado del Puig";"ALICANTE";"ALCOI";"4282689";"721244";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.009-9999-000154";"Campana Santa María de la ermita del Mas de Barxell de Alcoi";"ALICANTE";"ALCOI";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.009-9999-000155";"Molinar de Alcoi";"ALICANTE";"ALCOI";"4284546";"720387";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.011-9999-000002";"Torre Bombarda";"ALICANTE";"ALFÀS DEL PI (L')";"4272317";"756806";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000006";"El Porquet. Yacimiento de Icnofósiles";"ALICANTE";"ALACANT";"4244305";"716636";1;"Bienes inmuebles 1ª";7;"Zona paleontológica"
"03.014-9999-000007";"Torre El Ciprés";"ALICANTE";"ALACANT";"4250790";"724432";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000008";"Torre del Conde";"ALICANTE";"ALACANT";"4250399";"723654";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000009";"Torre Cacholí";"ALICANTE";"ALACANT";"4250791";"722893";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000010";"Torre Castillo";"ALICANTE";"ALACANT";"4249562";"724451";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000011";"Casa Ayuntamiento";"ALICANTE";"ALACANT";"4247127";"720110";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000012";"Palacio del Conde de Lumiares";"ALICANTE";"ALACANT";"4247166";"720268";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000013";"Castillo de Santa Bárbara";"ALICANTE";"ALACANT";"4247522";"720386";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000015";"Concatedral de San Nicolás de Bari";"ALICANTE";"ALACANT";"4247147";"720011";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000016";"Iglesia Parroquial de Santa María";"ALICANTE";"ALACANT";"4247237";"720289";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000017";"Conjunto Histórico Artístico Isla de Tabarca";"ALICANTE";"ALACANT";"4227270";"720568";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.014-9999-000018";"Muralla ibérica del Cerro de las Balsas";"ALICANTE";"ALACANT";"4249497";"723242";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000019";"Muralla Medieval de la Calle Mayor";"ALICANTE";"ALACANT";"4247158";"720125";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000020";"Muralla situada en el Paseito Ramiro";"ALICANTE";"ALACANT";"4247221";"720336";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000021";"Villas romanas del Castillo de Ansaldo";"ALICANTE";"ALACANT";"4249571";"724074";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.014-9999-000022";"Archivo Histórico Provincial de Alicante";"ALICANTE";"ALACANT";"4247197";"719939";1;"Bienes inmuebles 1ª";6;"Archivo"
"03.014-9999-000023";"Torre Agua Amarga";"ALICANTE";"ALACANT";"4243215";"717013";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000024";"Torre Águilas";"ALICANTE";"ALACANT";"4249781";"723441";1;"Bienes inmuebles 1ª";4;"Monumento"
