IGPCV;DENOMINACION;PROVINCIA;MUNICIPIO;UTMESTE;UTMNORTE;CODCLASIFICACION;CLASIFICACION;CODCATEGORIA;CATEGORIA
03.043-9999-000001;Castillo y Murallas de Biar;ALICANTE;BIAR;4278235;;1;Bienes inmuebles 1ª;4;Monumento
03.050-9999-000033;Illeta dels Banyets;ALICANTE;CAMPELLO (EL);4257022;728548;1;Bienes inmuebles 1ª;5;Zona arqueológica
03.056-9999-000007;Palacio Condal y Monasterio de la Virgen del Milagro;ALICANTE;COCENTAINA;4291410;722391;1;Bienes inmuebles 1ª;4;Monumento
03.082-9999-000037;Yacimiento romano Illeta del Portichol;ALICANTE;XÀBIA;4294555;780697;1;Bienes inmuebles 1ª;5;Zona arqueológica
03.091-9999-000001;Castillo-Iglesia Parroquial de San Miguel Arcángel;ALICANTE;MURLA;4294129;753438;1;Bienes inmuebles 1ª;4;Monumento
12.009-9999-000001;Recinto Amurallado de Almazora;CASTELLÓN;ALMASSORA;4425387;751012;1;Bienes inmuebles 1ª;4;Monumento
12.012-9999-000016;Cartuja de la Vall de Christ;CASTELLÓN;ALTURA;4413062;713220;1;Bienes inmuebles 1ª;4;Monumento
12.018-9999-000006;Poblado de la Peña Ajuerá;CASTELLON;AZUÉBAR;4412475;725683;1;Bienes inmuebles 1ª;4;Monumento
12.032-9999-000013;Yacimiento fenicio de Vinarratgell;CASTELLÓN;BORRIANA;4423391;752342;1;Bienes inmuebles 1ª;5;Zona arqueológica
12.040-9999-000015;Torre Campanario El Fadrí;CASTELLÓN;CASTELLÓ DE LA PLANA;4430429;752961;1;Bienes inmuebles 1ª;4;Monumento
46.017-9999-000009;Escudo de los Júdici de Acharte Blanes;VALENCIA;ALZIRA;4336798;721049;1;Bienes inmuebles 1ª;4;Monumento
46.060-9999-000003;Torre Muza;VALENCIA;BENIFAIÓ;4352036;721486;1;Bienes inmuebles 1ª;4;Monumento
12.018-9999-000006;Poblado de la Peña Ajuerá;CASTELLÓN;AZUÉBAR;4412475;725683;1;Bienes inmuebles 1ª;4;Monumento
46.062-9999-000001;Iglesia Parroquial de San Miguel Arcángel;VALENCIA;BENIGÀNIM;4313660;721543;1;Bienes inmuebles 1ª;4;Monumento
46.070-9999-000004;Restos Arqueológicos de la Alquería islámica de Bofilla y su Torre;VALENCIA;BÉTERA;4384315;720796;1;Bienes inmuebles 1ª;4;Monumento
46.220-9999-000023;Molino Fortificado Torre Gausa;VALLADOLID;SAGUNT;4395007;732199;1;Bienes inmuebles 1ª;4;Monumento
